CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
SCT	70.5946436096075	70	20.0356369541682	Syncytiotrophoblast	ABHD5;FAR2;PRKCZ;TFRC;RHOBTB1;COBLL1;KCNN4;GATA3;KRT23;HSD17B1;CMAS;SDC1;ARID3A;ERRFI1;SLC2A1;CSF3R;PGF;MSX2;LYPD3;CCR7;CDKN1C;GADD45G;MLLT1;GDF15;CLIP1;EPS8L1;GRHL1;TBX3;CGA;BZW2;TFAP2A;GCM1;CYP19A1;TACC2;SLC40A1;SLC49A4;SECISBP2L;ARHGAP24;FAM13A;CYP11A1;TINAGL1;NECTIN4;ATP6V1C2;GULP1;RASA1;EGFR;HSPB8;DAB2;SQSTM1;S100P;HPGD;SLC13A4;SLC43A2;SLC22A11;MUC15;OVOL1;SLC38A9;GATA2;TDRP;GREM2;HEXIM1;SIAH1;ESRRG;MAN1A2;HSD3B1;TINCR;ERVW-1;ERVFRD-1;LGALS16;ERVV-1
VCT	13.0984623247677	21	9.57953891871166	Villous cytotrophoblast	KCNN4;KRT23;HSD17B1;CSF3R;MSX2;CCR7;MLLT1;MPP1;TFAP2A;TINAGL1;ATP6V1C2;RASA1;EGFR;S100P;SLC13A4;SLC43A2;SLC22A11;SLC38A9;TDRP;SIAH1;ERVW-1
EVT	9.59401579985427	17	8.27185582822086	Extravillous trophoblast	SLCO4A1;CCNE1;GATA3;ARID3A;PGF;CDKN1C;BZW2;TFAP2A;GCM1;CYP11A1;ADM;S100P;HPGD;WEE1;HTRA4;GATA2;HSD3B1
dM1	1.20245074153804	5	4.05483128834356	Decidual macrophages Cluster 1	MXD1;HMOX1;VEGFA;SGK1;IER3
Epi1	0.767824134514786	5	2.97905972204833	Epithelial glandular cells Cluster 1	GABARAPL1;ARID5B;PID1;NUPR1;CD55
NK.CD16.	0.577737973806052	2	5.56091148115688	Blood Natural Killer Cells CD16-	RIPOR2;HOPX
NK.CD16..1	0.480691850984419	3	2.91947852760736	Blood Natural Killer Cells CD16+	RIPOR2;PLEKHF1;HOPX
dM3	0.480691850984419	3	2.96896121451596	Decidual macrophages Cluster 3	LGMN;CPM;CTSB
Granulocytes	0.480691850984419	2	3.89263803680982	Granulocytes	HPGD;GATA2
Epi2	0.449586719143472	5	1.97262062676173	Epithelial glandular cells Cluster 2	SYNE2;VEGFA;GDF15;ELF3;NUPR1
Endo..m.	0.321832293020664	4	1.88353453394023	Endothelial cells (Maternal)	ENG;ARRDC3;ID3;FAM43A
dS3	0.153012985928059	3	1.68431453515809	Stromal cells Cluster 3	GADD45G;TCF7L2;ADM
Endo..f.	0.061688833468187	3	1.42413586712554	Endothelial cells (Fetal)	SQLE;SLC2A1;FAM43A
HB	0.0531839816615959	2	1.49716847569608	Hofbauer cells	LGMN;DAB2
Endo.L	0.0328543911104491	2	1.28328726488236	Endothelial cells (L)	RAI14;FAM43A
fFB1	0.0328543911104491	3	1.23358247645382	Fetal Fibroblasts Cluster 1	STRA6;ADAMTS1;PLPP3
dNK2	0.00545445844412082	1	1.35789698958482	Decidual natural killer Cluster 2	HOPX
dM2	0	1	0.720858895705522	Decidual macrophages Cluster 2	
dNK.p	0	1	0.884690462911322	Decidual natural killer proliferative	
dS1	0	0	0	Stromal cells Cluster 1	
dNK3	0	1	1.08128834355828	Decidual natural killer Cluster 3	
Plasma	0	0	0	Plasma	
dNK1	0	1	0.957206074625365	Decidual natural killer Cluster 1	
dS2	0	1	0.778527607361963	Stromal cells Cluster 2	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
fFB2	0	0	0	Fetal Fibroblasts Cluster 2	
DC1	0	0	0	Dendritic cells Cluster 1	
dP1	0	1	0.614627058443655	Decidua Perivascular cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
dP2	0	0	0	Decidua Perivascular cells Cluster 2	
ILC3	0	1	1.21644938650307	Innate lymphocyte cells 3	
